Accounting Program Code,Accounting Program Description,prog_abb,prog_full,min_year,max_year,min_file_year,max_file_year
8290,PANDEMIC ASSISTANCE REVENUE PROGRAM,PARP,Pandemic Assistance Revenue Program,2020,2020,2023,2025
8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,PATHH,Pandemic Assistance for Timber Harvesters and Haulers,2020,2020,2022,2023
2837,PRICE LOSS COVERAGE,PLC,Price Loss Coverage,2014,2024,2022,2025
2837,PRICE LOSS COVERAGE PROGRAM,PLC,Price Loss Coverage,2014,2020,2015,2020
2932,PRICE LOSS COVERAGE-MANUAL,PLC,Price Loss Coverage,2017,2017,2024,2024
8287,PANDEMIC LIVESTOCK INDEMNITY PROGRAM,PLIP,Pandemic Livestock Indemnity Program,2020,2020,2022,2022
2908,QUALITY LOSS ADJUSTMENT PROGRAM,QLA,Quality Loss Adjustment Program,2018,2019,2022,2025
2939,RICE PRODUCTION PROGRAM,RPP,Rice Production Program,2022,2022,2023,2025
2773,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2010,2010,2011,2014
2785,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2011,2011,2012,2015
2789,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2012,2012,2013,2016
2823,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2013,2013,2014,2017
2836,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2014,2014,2015,2019
2852,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2015,2015,2016,2020
2858,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2016,2016,2017,2020
2860,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2017,2017,2018,2022
2865,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2018,2018,2019,2023
2874,GEOGRAPHIC DISADVANTAGED PROGRAM,RTCP,Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,2019,2019,2020,2020
8292,SPOT MARKET HOG PANDEMIC PROGRAM,SMHPP,Spot Market Hog Pandemic Program,2020,2020,2022,2025
2907,SEAFOOD TRADE RELIEF PROGRAM,STRP,Seafood Trade Relief Program,2020,2020,2020,2023
2746,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,SURE,Supplemental Revenue Assistance Program,2008,2012,2010,2017
2754,SUPL REVENUE ASSISTANCE - RECOVERY ACT,SURE,Supplemental Revenue Assistance Program,2008,2008,2011,2012
2754,SUPL REVENUE ASSISTANCE RECOVERY ACT,SURE,Supplemental Revenue Assistance Program,2008,2008,2010,2010
2762,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,SURE,Supplemental Revenue Assistance Program,2008,2008,2012,2015
2763,SUPL REVENUE ASSISTANCE - RECOVERY ACT,SURE,Supplemental Revenue Assistance Program,2008,2008,2012,2015
2861,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,SURE,Supplemental Revenue Assistance Program,2008,2011,2018,2019
2688,TRADE ADJUSTMENT ASSISTANCE,TAAF,Trade Adjustment Assistance for Farmers,2002,2004,2008,2009
2688,"TRADE ADJUSTMENT - FISH, SALMON",TAAF,Trade Adjustment Assistance for Farmers,2003,2003,2005,2007
2688,"TRADE ADJUSTMENT - FISH, SHRIMP",TAAF,Trade Adjustment Assistance for Farmers,2003,2003,2005,2007
2688,TRADE ADJUSTMENT - FRESH POTATOES,TAAF,Trade Adjustment Assistance for Farmers,2003,2003,2005,2007
2688,TRADE ADJUSTMENT - OLIVES,TAAF,Trade Adjustment Assistance for Farmers,2003,2003,2005,2006
2688,"TRADE ADJUSTMENT - AVOCADOS, FRESH",TAAF,Trade Adjustment Assistance for Farmers,2004,2004,2006,2006
2688,TRADE ADJUSTMENT - JUICE GRAPES,TAAF,Trade Adjustment Assistance for Farmers,2004,2004,2005,2007
2688,"TRADE ADJUSTMENT - NUTS, LYCHEES",TAAF,Trade Adjustment Assistance for Farmers,2004,2004,2005,2007
2748,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,TAAF,Trade Adjustment Assistance for Farmers,2008,2009,2011,2014
2782,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,TAAF,Trade Adjustment Assistance for Farmers,2008,2009,2011,2016
2787,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,TAAF,Trade Adjustment Assistance for Farmers,2008,2009,2011,2014
2788,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,TAAF,Trade Adjustment Assistance for Farmers,2008,2009,2011,2016
2712,TREE ASSISTANCE PROGRAM - ORCHARDS,TAP,Tree Assistance Program,2005,2005,2008,2008
2714,TREE ASSISTANCE PROGRAM - TIMBER,TAP,Tree Assistance Program,2005,2005,2008,2008
2733,TREE ASSISTANCE PROGRAM - HURRICANE,TAP,Tree Assistance Program,2005,2005,2008,2009
2757,TREE ASSISTANCE REGULAR,TAP,Tree Assistance Program,2005,2005,2009,2009
2747,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2008,2011,2010,2018
2755,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2008,2008,2010,2010
2755,TREE ASSISTANCE PROGRAM - RECOVERY ACT,TAP,Tree Assistance Program,2008,2008,2012,2012
2760,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2008,2008,2012,2014
2761,TREE ASSISTANCE PROGRAM - RECOVERY ACT,TAP,Tree Assistance Program,2008,2008,2014,2015
2834,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2011,2019,2014,2023
2872,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2014,2025,2019,2025
2863,TREE ASSISTANCE PROGRAM - PECAN,TAP,Tree Assistance Program,2017,2017,2018,2020
2876,TREE ASSISTANCE PROGRAM,TAP,Tree Assistance Program,2017,2017,2020,2020
2722,TREE INDEMNITY PROGRAM,TIP,Tree Indemnity Program,2005,2005,2008,2008
5276,"TOBACCO TRANSITION PYMNT-AIR CURED, PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5276,"TOBACCO TRANSITION PYMNT-CIGAR, PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5276,"TOBACCO TRANSITION PYMNT-FLUE CURED,PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5276,"TOBACCO TRANSITION PYMNT-SUN CURED, PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5276,TOBACCO TRANSITION PYMNT-VA FIRE CURED,TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5276,"TOBACCO TRANSITION PYMT-BURLEY, PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2006
5276,"TOBACCO TRANSITION PYMT-FIRE CURED, PROD",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMNT-BURLEY, QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMNT-FLUECURED,QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMNT-SUN CURED,QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMT-AIR CURED, QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMT-CIGAR, QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5277,"TOBACCO TRANSITION PYMT-FIRE CURED,QUOTA",TTPP,Tobacco Transition Payment Program,2005,2005,2005,2005
5280,TTPP TOBACCO PRODUCER,TTPP,Tobacco Transition Payment Program,2005,2005,2008,2010
5281,TOBACCO QUOTA HOLDER - INTEREST,TTPP,Tobacco Transition Payment Program,2005,2005,2009,2010
5288,TTPP - TOBACCO BURLEY,TTPP,Tobacco Transition Payment Program,NA,NA,2017,2017
5288,TTPP - TOBACCO FLUE CURED,TTPP,Tobacco Transition Payment Program,NA,NA,2017,2017
2864,WILDFIRES AND HURRICANES INDEMNITY PROG,WHIP,Wildfires and Hurricanes Indemnity Program,2017,2017,2018,2023
2866,WILDFIRES & HURRICANES INDEMNITY PROGRAM,WHIP,Wildfires and Hurricanes Indemnity Program,2017,2017,2018,2018
2869,WILDFIRES AND HURRICANES INDEMNITY PROG,WHIP,Wildfires and Hurricanes Indemnity Program,2017,2017,2018,2020
2886,WHIP 791,WHIP,Wildfires and Hurricanes Indemnity Program,2017,2017,2020,2020
2875,DIS/WH2 2019 WFHURRINDEMP,WHIP,Wildfires and Hurricanes Indemnity Program,2018,2019,2019,2022
2881,WML/WML 19 WHIP MILK LOSS,WHIP,Wildfires and Hurricanes Indemnity Program,2018,2019,2019,2020
2888,WHIP 3,WHIP,Wildfires and Hurricanes Indemnity Program,2018,2018,2023,2025
2888,WHIP PLUS 3 ASSISTANCE,WHIP,Wildfires and Hurricanes Indemnity Program,2018,2020,2020,2025
2889,WHIP - SUGAR BEET COOPERATIVES,WHIP,Wildfires and Hurricanes Indemnity Program,2020,2020,2020,2020
2450,SUPP DISASTER RELIEF NON-SPEC CROPS 1,SDRP,Supplemental Disaster Relief Program,2023,2025,2025,2025
2451,SUPP DISASTER RELIEF SPEC CROPS 1,SDRP,Supplemental Disaster Relief Program,2023,2025,2025,2025
2940,LIVESTOCK FORAGE DISASTER PROGRAM (COF),LFDP,Livestock Forage Disaster Program,2025,2025,2025,2025
2943,EMERGENCY LIVESTOCK RELIEF PRGM-2023-24,ELRP,Emergency Livestock Relief Program,2023,2024,2025,2025
2944,MARKETING ASSISTANCE FOR SPECIALTY CROPS,MAL,Market Assistance Loan,2025,2025,2025,2025
2945,EMERGENCY COMMODITY ASSISTANCE PROGRAM,ECAP,Emergency Commodity Assistance Program,2024,2024,2025,2025
3363,EFRP COST SHARE-AMERICAN RELIEF ACT 2025,EFRP,Emergency Forest Restoration Program,NA,NA,2025,2025
3364,EFRP COST SHARE STFRD DISTR-OBLIG FRMWRK,EFRP,Emergency Forest Restoration Program,NA,NA,2025,2025
4065,ECP FINANCIAL ASSISTANCE COF,ECP,Emergency Conservation Program,NA,NA,2025,2025
8058,DMC PRGM-SUPPLEMENTAL OLP,DMC,Dairy Margin Coverage Program,2023,2023,2025,2025
